"values.mood1","values.mood2","values.mood3","values.mood4","values.mood5","values.mood6","values.mood7","values.mood8","values.mood9","values.mood10","values.mood11","values.mood12","values.mood13","values.mood14","values.mood15","values.mood16"
"22","19","36","16","20","40","17","17","31","26","17","12","21","16","1","12"
"38","40","44","27","40","35","38","40","44","24","43","42","25","32","43","40"
"46","26","27","34","34","60","14","30","37","15","65","33","25","19","73","21"
"54","38","11","23","56","38","39","13","39","25","44","15","4","38","39","23"
"16","17","37","19","26","20","21","25","24","29","17","27","29","19","24","21"
"49","11","58","68","60","66","20","1","37","1","77","48","29","1","56","26"
"59","7","13","50","49","52","11","30","52","3","52","39","5","32","42","9"
"58","35","44","57","54","56","39","37","55","40","55","41","31","26","73","38"
"45","57","58","46","42","57","47","48","56","46","42","53","45","46","56","46"
"35","38","60","31","30","67","55","56","33","56","21","43","47","45","57","54"
"67","33","56","65","63","66","22","39","33","58","46","26","47","31","15","26"
"56","46","58","44","58","58","46","46","62","45","55","49","41","46","86","60"
"29","18","64","33","63","27","2","27","45","32","66","26","21","22","33","51"
"58","47","50","53","50","52","48","44","53","47","54","44","37","46","53","48"
"41","23","37","41","38","62","25","26","57","28","57","30","27","27","33","63"
"60","28","45","59","59","69","27","26","55","27","62","43","42","40","70","43"
"50","49","48","50","49","57","46","50","49","45","50","47","49","46","88","53"
"47","43","60","52","48","57","54","53","52","44","55","54","56","55","59","53"
"33","26","36","47","44","39","22","15","40","29","35","41","19","23","28","40"
"79","20","58","68","29","83","27","60","67","23","72","61","46","36","80","68"
"58","38","45","43","45","63","39","47","56","47","57","37","38","41","52","49"
"91","33","65","68","32","73","29","34","66","30","68","60","29","5","67","63"
"42","33","50","43","46","45","44","46","42","42","43","45","48","45","65","46"
"43","42","30","43","39","65","41","12","36","46","36","14","28","35","33","39"
"57","16","50","56","33","58","22","31","54","17","55","44","48","11","22","20"
"57","35","60","54","31","55","39","21","31","33","35","31","35","23","57","41"
"54","1","20","29","15","84","1","1","72","1","60","23","5","1","31","9"
"72","36","76","81","77","80","84","60","76","66","66","68","71","68","80","76"
"57","16","45","57","56","65","55","44","59","28","57","65","46","28","97","59"
"83","8","76","84","84","98","35","13","86","16","88","53","25","23","72","68"
"24","28","31","29","45","33","34","62","34","25","26","27","31","13","33","57"
"40","43","39","38","45","41","45","44","43","44","44","43","37","34","43","35"
"60","36","57","55","48","72","27","26","60","49","62","39","33","56","35","54"
"44","15","38","28","25","44","26","16","33","11","33","34","29","22","55","44"
"39","41","57","55","62","61","47","36","61","27","49","62","49","72","57","60"
"61","29","32","35","63","32","29","32","36","27","57","32","27","33","67","41"
"79","41","59","59","41","83","42","39","67","39","63","57","42","47","62","57"
"59","40","36","40","38","49","47","40","67","56","64","37","43","43","81","50"
"55","36","45","39","41","57","58","36","56","34","45","45","39","36","61","58"
"32","56","43","28","21","48","42","38","40","41","53","43","45","43","44","48"
"67","24","62","66","61","68","20","25","62","23","68","58","21","36","30","46"
"61","42","69","60","58","56","68","64","60","58","59","61","58","69","60","67"
"51","49","45","52","46","45","54","45","49","45","46","47","40","38","44","46"
"45","8","10","6","27","57","4","11","33","5","35","24","5","4","17","14"
"56","19","64","59","61","61","33","66","60","25","63","32","39","23","27","72"
"54","28","38","54","45","57","40","41","54","41","57","50","37","44","60","64"
"27","18","34","20","24","29","28","28","24","29","29","32","14","32","28","27"
"55","14","36","45","35","40","45","35","57","35","39","41","35","46","41","57"
"17","3","32","24","42","42","12","5","31","9","38","40","4","26","23","41"
"43","36","42","42","33","60","38","38","46","41","61","37","30","41","57","44"
"71","21","52","42","82","78","32","18","83","17","66","38","58","36","55","37"
"62","39","38","60","36","63","40","37","47","38","65","40","35","39","58","62"
"66","27","83","77","62","66","68","84","89","25","67","69","81","54","73","79"
"4","1","1","11","23","1","1","1","24","1","1","1","1","1","1","20"
"26","27","40","18","60","40","29","34","39","30","26","33","28","1","24","34"
"62","38","68","71","64","62","36","42","64","36","62","67","33","35","65","74"
"59","46","63","70","66","43","60","59","61","60","44","68","63","43","69","67"
"48","28","30","31","43","64","46","50","20","45","33","27","48","35","43","48"
"48","22","41","54","46","53","9","26","52","10","48","48","12","18","36","37"
"70","44","57","69","76","73","65","34","65","35","67","55","41","36","77","38"
"70","71","67","35","29","91","33","38","41","32","92","43","66","30","94","83"
"91","31","66","81","65","85","82","86","87","36","77","81","75","30","88","84"
"56","37","56","40","41","59","57","59","39","43","62","42","39","39","36","65"
"9","79","4","35","69","7","2","10","19","11","55","21","2","3","7","1"
"48","37","23","50","49","45","34","41","39","36","39","35","30","39","43","45"
"57","41","61","53","55","61","41","42","55","43","57","36","44","43","54","60"
"73","48","57","47","55","66","44","42","55","53","59","45","46","5","88","59"
"33","13","29","32","16","36","29","16","30","23","36","27","25","17","21","29"
"80","77","28","56","30","75","30","24","32","84","76","67","28","21","72","81"
"33","1","37","21","36","49","1","1","40","1","35","24","1","29","16","41"
"1","100","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"66","32","22","68","60","38","33","22","38","34","57","18","33","41","68","63"
"42","40","60","57","43","44","40","9","34","29","43","46","44","44","58","65"
"38","33","31","33","32","36","27","29","44","30","35","26","24","30","56","54"
"39","47","33","37","43","41","37","42","41","44","40","41","48","40","43","44"
"74","43","64","66","68","57","42","47","64","47","75","56","43","45","56","58"
"44","1","1","23","36","49","22","1","44","1","65","21","22","1","1","46"
"67","1","58","61","22","56","14","1","62","1","38","55","25","1","18","58"
"0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0"
"0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"67","32","62","38","59","59","33","31","59","34","63","48","14","38","72","63"
"74","35","68","70","72","90","69","74","66","34","70","36","62","18","63","70"
"35","6","26","27","32","60","20","24","31","6","34","28","29","26","69","35"
"8","25","9","13","41","37","10","13","43","21","8","8","25","4","16","48"
"23","73","63","20","23","11","10","15","17","14","69","10","7","9","37","40"
"77","43","70","65","58","82","61","40","88","46","80","46","48","46","75","68"
"41","16","28","50","29","46","24","17","37","17","54","31","17","37","28","34"
"28","5","40","30","6","38","13","1","40","13","35","16","31","30","40","53"
"5","1","35","13","1","33","17","7","32","11","17","25","30","13","33","18"
"30","61","35","34","57","45","30","33","36","31","39","56","38","32","34","28"
"41","27","33","8","56","37","33","17","59","28","32","43","34","35","21","37"
"71","6","37","17","19","87","37","32","72","3","28","19","31","30","78","72"
"67","29","32","79","60","78","79","66","37","74","70","24","81","70","82","78"
"36","45","44","46","44","56","37","48","34","47","33","40","41","45","45","49"
"12","11","14","11","6","19","12","20","14","15","20","10","12","20","38","12"
"48","10","47","36","39","9","14","15","48","14","49","34","11","12","10","39"
"54","44","62","61","61","61","40","38","64","41","61","60","38","33","59","62"
"63","32","57","68","61","72","68","26","57","28","59","28","32","43","58","38"
"57","49","53","61","57","48","50","50","53","49","57","58","50","48","61","46"
"47","57","40","59","58","39","35","40","47","43","38","43","44","37","37","56"
"75","57","7","63","71","71","30","28","77","31","68","31","28","27","35","27"
"47","41","32","37","35","38","35","39","35","36","44","36","51","27","74","49"
"33","24","39","36","32","44","30","28","17","16","31","22","14","28","18","39"
"66","34","40","62","69","74","62","46","72","40","70","59","43","68","70","54"
"28","33","22","33","31","24","70","33","27","64","64","39","26","32","86","64"
"17","1","1","6","8","8","11","1","14","1","1","1","1","1","1","10"
"75","30","65","62","48","87","33","31","65","27","77","54","35","39","94","39"
"77","65","71","81","59","59","77","100","88","75","44","64","40","67","64","55"
"36","22","24","23","16","72","74","75","30","75","33","37","32","66","78","30"
"90","37","60","82","42","82","27","18","83","29","81","35","26","34","62","74"
"57","23","41","58","75","39","24","43","47","21","66","31","39","29","24","36"
"67","28","50","42","34","60","40","22","64","22","45","51","30","21","46","36"
"52","43","49","50","53","46","48","50","52","57","50","50","47","49","58","48"
"64","23","11","64","13","65","16","26","27","22","70","14","24","21","70","28"
"30","84","36","45","48","28","23","58","48","56","31","46","14","29","23","47"
"59","35","44","55","45","59","45","37","59","41","66","48","47","49","55","57"
"42","43","48","42","43","58","44","46","47","45","56","40","47","43","55","43"
"74","66","25","62","74","64","9","29","71","33","67","21","22","11","58","32"
"42","1","41","19","1","66","35","1","38","1","35","29","31","1","36","57"
"59","43","62","61","61","67","60","57","77","43","71","60","58","46","60","61"
"39","41","43","42","63","45","45","42","62","40","35","42","41","44","59","42"
"68","14","42","41","28","42","35","35","58","18","59","36","35","42","22","42"
"72","41","65","68","67","65","42","28","63","43","64","70","40","42","49","44"
"64","12","28","45","41","67","11","6","28","12","77","30","32","21","63","62"
"57","43","28","44","54","41","43","38","35","52","47","60","44","54","56","59"
"57","18","55","43","25","52","26","45","42","22","48","5","20","45","48","53"
"42","42","33","40","41","43","37","31","42","40","45","36","43","33","42","40"
"15","8","10","13","17","29","21","22","21","17","21","11","8","15","47","11"
"24","75","58","26","22","35","13","34","24","21","31","12","32","7","23","3"
"64","32","37","38","42","67","34","28","61","26","65","31","30","29","38","38"
