"values.mood1","values.mood2","values.mood3","values.mood4","values.mood5","values.mood6","values.mood7","values.mood8","values.mood9","values.mood10","values.mood11","values.mood12","values.mood13","values.mood14","values.mood15","values.mood16"
"57","35","40","43","54","54","32","34","56","37","51","36","45","22","57","18"
"39","14","32","37","35","43","19","24","42","22","41","20","15","28","41","38"
"42","8","6","59","30","57","3","33","34","40","31","29","5","41","33","43"
"55","22","58","53","54","57","43","34","47","34","57","45","32","39","35","57"
"50","43","61","60","51","65","50","40","62","40","57","65","48","39","75","61"
"60","37","41","37","30","60","33","30","42","33","61","33","36","41","48","46"
"34","16","45","37","34","66","21","30","29","40","32","27","42","40","57","37"
"47","40","40","46","47","46","33","42","47","42","46","41","31","27","40","42"
"34","33","26","40","33","25","32","60","23","28","39","34","32","42","22","25"
"62","38","44","64","41","58","39","33","61","35","72","41","39","32","43","41"
"63","14","32","56","22","39","37","34","58","33","61","42","33","42","22","43"
"55","17","53","54","44","55","53","45","55","38","64","53","53","53","73","75"
"51","36","62","62","42","81","43","50","60","41","65","61","35","61","30","69"
"63","39","39","65","63","65","75","37","68","36","64","38","58","62","38","60"
"67","27","32","67","74","78","53","30","73","22","66","36","37","19","82","16"
"17","4","22","17","3","24","17","13","26","9","26","16","6","21","30","17"
"13","23","21","15","17","27","27","23","26","24","28","30","28","32","58","57"
"38","65","40","39","59","30","35","40","40","34","38","40","25","37","61","26"
"64","35","30","62","60","61","21","32","59","19","74","43","11","24","62","28"
"28","67","24","22","29","19","27","19","23","74","22","31","37","24","74","63"
"58","55","53","55","57","57","45","39","48","56","53","46","45","46","47","47"
"100","36","67","98","63","100","77","90","93","68","85","96","74","50","48","100"
"59","30","44","57","34","62","29","29","41","43","63","54","52","28","36","41"
"36","26","56","43","29","71","35","29","37","67","37","17","63","41","69","64"
"38","1","1","1","1","17","1","27","21","20","1","1","1","1","1","35"
"53","46","46","47","53","53","49","48","53","49","54","53","49","49","54","50"
"74","21","61","57","34","64","32","28","58","20","54","31","25","21","60","19"
"66","82","17","72","39","34","10","25","22","18","66","16","11","14","17","15"
"57","31","37","35","39","41","45","32","35","28","35","33","38","57","64","58"
"73","43","69","63","59","77","64","67","69","61","78","37","42","74","88","73"
"60","34","23","47","34","46","30","39","29","32","53","34","28","23","21","36"
"66","50","68","64","82","81","63","49","84","49","82","65","51","58","84","54"
"14","1","9","31","6","17","1","10","22","1","1","7","1","1","1","37"
"45","38","45","40","64","64","61","39","41","61","63","40","42","35","62","51"
"66","40","58","57","43","63","50","40","62","41","62","50","49","41","67","59"
"72","28","29","28","35","66","44","28","38","34","39","40","34","38","30","17"
"59","46","35","30","17","58","25","40","21","39","56","23","24","22","57","40"
"73","22","59","73","92","69","78","34","83","31","73","74","67","55","62","72"
"40","32","14","24","40","91","23","5","40","3","89","26","4","2","17","56"
"27","25","27","25","25","60","35","32","26","57","61","29","39","52","37","57"
"76","21","88","72","72","95","42","49","81","21","80","56","42","51","84","53"
"44","42","22","37","19","57","21","37","46","28","36","26","15","29","63","57"
"54","22","31","47","49","40","40","42","59","28","57","40","32","36","46","45"
"28","26","19","26","27","66","27","33","34","37","25","32","17","30","70","36"
"32","36","18","24","18","28","35","40","31","38","26","25","11","33","69","36"
"47","35","59","45","39","44","55","52","55","46","41","41","55","39","44","61"
"47","40","42","44","40","55","36","35","48","35","48","48","37","17","28","37"
"88","33","42","33","56","35","66","37","31","34","71","73","18","49","38","25"
"60","28","55","61","60","61","45","45","58","56","56","57","41","66","64","43"
"42","46","57","45","42","56","49","45","57","58","44","41","45","66","43","61"
"60","60","49","56","27","60","68","44","57","57","69","55","50","44","100","69"
"73","30","67","28","42","79","66","32","66","33","75","44","46","50","77","70"
"64","10","57","45","37","62","47","65","64","43","60","42","54","38","43","58"
"57","46","57","57","55","52","48","48","62","48","49","52","46","49","49","54"
"83","22","56","27","50","65","31","26","52","38","70","54","50","22","83","53"
"41","29","45","43","36","60","40","57","44","41","42","34","45","36","84","42"
"61","33","32","35","39","66","25","24","40","20","62","34","28","31","41","40"
"24","23","31","5","27","31","10","7","24","31","7","15","19","50","54","1"
"27","20","26","14","24","36","36","27","10","22","9","23","37","28","74","9"
"66","32","64","59","61","60","64","59","61","70","62","68","57","66","70","57"
"41","21","41","40","35","46","27","41","52","31","35","40","25","39","59","38"
"89","20","59","78","59","83","28","36","75","7","85","61","37","16","38","60"
"77","19","92","12","22","82","11","16","66","77","79","30","26","23","72","70"
"65","28","45","65","38","53","30","34","58","16","71","40","40","60","39","63"
"95","6","86","61","21","86","66","13","75","19","100","60","62","40","100","73"
"36","69","39","64","45","56","38","64","63","66","69","44","61","53","83","64"
