display.refreshrate,script.startdate,script.starttime,script.subjectid,script.groupid,script.elapsedtime,computer.platform,values.completed,parameters.stimpic_height,expressions.propcorrect_stim1,expressions.propcorrect_stim2,expressions.propcorrect_stim3,expressions.propcorrect_stim4,expressions.propcorrect_stim5,expressions.propcorrect_stim6,expressions.propcorrect_stim7,expressions.propcorrect_stim8,expressions.propcorrect_stim9,expressions.propcorrect_stim10,expressions.propcorrect_stim11,expressions.propcorrect_stim12,expressions.propcorrect_stim13
40,12820,15:04:50,5001,2,916529,win,1,26pct,0.85,0.95,1,0.8,1,1,1,1,1,1,1,0.95,1
40,12820,15:17:52,5002,3,623262,win,1,25pct,0.6,0.75,0.8,0.85,1,0.85,0.95,1,0.95,1,1,1,0.95
40,12820,15:38:32,3003,4,563093,win,1,26pct,0.6,0.8,0.55,0.6,0.9,0.9,0.9,0.85,0.85,1,0.9,0.9,1
40,12820,16:02:38,1004,5,808713,win,1,29pct,0.4,0.6,0.5,0.4,0.85,0.75,0.6,0.7,0.85,0.7,0.95,0.95,0.85
40,12920,15:00:08,2005,6,546924,win,1,26pct,0.9,0.9,0.8,0.9,0.9,0.95,1,0.9,1,1,0.95,0.95,0.95
40,12920,15:16:55,3006,1,572335,win,1,26pct,0.9,1,0.8,0.85,0.95,1,1,1,1,0.95,0.95,1,1
40,12920,15:39:15,1007,2,632837,win,1,26pct,0.95,0.85,0.95,0.95,0.95,1,1,1,1,1,1,1,1
40,13120,15:07:13,1008,3,571831,win,1,26pct,1,1,0.95,0.9,0.95,1,1,1,1,1,1,1,1
40,13120,15:16:40,5009,4,635853,win,1,33pct,0.65,0.7,0.65,0.65,1,0.95,1,1,1,0.95,1,0.95,1
40,13120,15:38:59,5010,5,657865,win,1,26pct,0.7,0.55,0.7,0.7,0.9,0.95,0.9,0.95,0.95,0.9,1,1,1
40,20420,15:06:16,1011,6,568656,win,1,26pct,0.8,0.9,0.95,0.9,1,0.9,0.95,0.95,0.95,0.95,1,1,1
40,20420,15:30:25,2012,1,657354,win,1,26pct,0.8,1,0.8,0.9,1,0.9,1,1,1,0.95,1,0.9,1
60,20420,15:37:39,2013,2,710427,win,1,18pct,0.85,1,1,0.95,1,1,1,1,1,1,1,1,1
40,20420,16:06:18,2014,3,604308,win,1,26pct,0.8,0.75,1,0.9,0.9,0.85,0.85,0.95,1,1,1,1,1
60,20520,14:58:26,6015,4,588134,win,1,18pct,0.8,0.95,1,0.95,1,1,0.95,0.95,1,1,1,1,1
75,20520,15:30:09,6016,5,580371,win,1,19pct,0.6,0.95,0.8,0.9,1,1,1,1,1,1,1,1,1
40,20720,15:07:26,5017,1,792291,win,1,27pct,0.85,0.85,0.85,0.85,0.9,0.9,1,0.9,0.85,0.95,1,0.85,0.85
40,20720,15:23:56,3018,2,565907,win,1,26pct,0.9,0.85,0.9,0.8,1,0.9,1,1,1,1,1,1,1
40,20720,15:42:23,5019,4,563020,win,1,26pct,0.9,0.8,0.75,0.95,0.9,1,0.95,0.95,1,1,0.95,0.9,1
40,21220,15:00:20,4020,5,569639,win,1,26pct,0.85,0.9,0.75,0.85,1,1,0.95,1,0.95,0.95,1,1,1
40,21220,15:04:48,4021,6,583703,win,1,26pct,0.7,0.6,0.75,0.85,0.9,0.9,0.9,0.95,1,1,1,0.9,0.95
40,21220,15:48:43,5022,1,830042,win,1,26pct,0.75,0.75,0.65,0.65,0.95,0.95,0.9,1,1,0.95,1,1,1
40,21420,14:58:30,6023,2,619904,win,1,25pct,0.55,0.8,0.8,0.75,0.95,1,0.85,1,1,1,1,1,1
40,21420,15:27:29,2024,3,563914,win,1,26pct,1,0.8,0.95,0.95,0.95,1,0.95,1,1,0.95,1,1,1
40,21420,15:58:46,1025,4,566030,win,1,26pct,0.9,0.75,0.7,0.7,0.9,1,1,1,0.95,0.95,1,0.9,1
40,21920,15:01:43,1026,5,549936,win,1,26pct,0.9,1,1,1,1,1,1,1,1,1,1,1,1
40,21920,15:33:03,1027,6,602813,win,1,26pct,0.95,0.9,1,0.95,1,0.95,1,1,1,1,0.9,0.95,1
40,22120,15:04:41,1028,1,616103,win,1,25pct,0.7,0.7,0.7,0.75,0.7,0.7,0.85,0.8,1,1,0.95,0.95,0.9
40,22120,15:18:02,2029,2,584683,win,1,26pct,0.9,0.95,1,1,0.9,0.95,0.95,0.9,1,0.95,1,1,0.95
