display.refreshrate,script.startdate,script.starttime,script.subjectid,script.groupid,script.elapsedtime,computer.platform,values.completed,parameters.stimpic_height,expressions.propcorrect_stim1,expressions.propcorrect_stim2,expressions.propcorrect_stim3,expressions.propcorrect_stim4,expressions.propcorrect_stim5,expressions.propcorrect_stim6,expressions.propcorrect_stim7,expressions.propcorrect_stim8,expressions.propcorrect_stim9,expressions.propcorrect_stim10,expressions.propcorrect_stim11,expressions.propcorrect_stim12,expressions.propcorrect_stim13
40,22420,15:39:24,5030,3,630497,win,1,25pct,0.9,0.85,0.75,0.8,1,0.9,0.9,1,0.95,1,1,0.95,1
40,22620,15:19:35,4031,4,689506,win,1,26pct,0.8,1,0.9,0.95,0.95,0.95,1,1,1,1,1,1,1
40,22620,15:33:50,6032,5,553666,win,1,26pct,0.8,0.8,0.95,0.85,0.95,1,0.95,1,0.95,0.9,0.95,0.95,1
40,22820,15:10:04,3033,6,607012,win,1,26pct,0.95,0.8,0.85,0.9,1,1,1,1,1,1,1,1,1
40,22820,15:21:54,2034,1,654213,win,1,23pct,0.95,0.9,1,1,0.95,1,1,1,1,1,1,1,1
60,22820,15:49:03,3035,2,632332,win,1,19pct,0.55,0.6,0.7,0.55,0.9,0.7,0.7,0.7,0.8,0.7,0.65,0.75,0.85
40,30320,15:09:06,2036,3,582792,win,1,25pct,0.9,0.9,0.9,0.85,0.95,0.95,1,0.9,1,0.85,0.95,0.95,0.95
40,30320,15:12:24,2037,4,575285,win,1,26pct,0.8,0.9,0.95,0.95,1,1,1,1,1,1,0.9,1,1
40,30320,15:52:02,2038,6,555347,win,1,26pct,1,0.9,0.95,0.9,1,1,0.85,0.9,1,0.95,1,1,0.95
40,30420,15:07:03,4039,1,603530,win,1,26pct,0.7,0.9,0.75,0.95,0.9,1,0.95,1,0.95,0.9,0.95,1,1
40,30420,15:34:05,4040,3,558402,win,1,25pct,0.95,0.95,0.9,0.95,0.95,0.95,1,1,0.95,1,1,1,1
75,30420,15:39:58,3041,2,537690,win,1,26pct,0.55,0.7,0.95,0.95,0.8,0.85,0.95,0.9,1,0.95,0.95,1,1
40,30420,15:57:38,6042,4,586546,win,1,23pct,0.8,0.6,0.7,0.65,0.65,0.75,0.6,0.75,0.85,0.7,0.9,0.8,0.75
40,30620,14:58:00,3044,5,587092,win,1,24pct,0.75,0.6,0.6,0.7,0.8,0.95,0.85,0.9,0.8,0.8,0.85,0.95,0.9
40,30620,15:03:27,6043,6,577031,win,1,26pct,0.8,1,0.95,0.8,1,1,1,0.95,0.95,1,0.95,1,1
40,31020,15:10:06,6045,2,612233,win,1,26pct,0.8,0.85,0.85,0.8,1,0.85,0.85,0.95,1,1,1,0.95,1
40,31020,15:20:23,1046,1,639173,win,1,26pct,0.55,0.7,0.8,0.6,0.95,1,0.85,0.9,0.9,0.95,1,0.95,1
75,31020,15:46:47,4047,3,563528,win,1,18pct,0.55,1,1,1,1,1,1,0.95,1,0.95,1,1,1
40,31020,16:01:53,5048,4,579056,win,1,26pct,0.9,0.95,0.9,0.9,1,0.9,1,1,1,1,1,0.95,0.9
40,31120,15:03:30,2049,6,564645,win,1,26pct,0.95,0.85,0.95,0.9,1,1,1,1,1,1,1,0.95,0.95
40,31120,15:12:03,4050,5,578383,win,1,24pct,0.8,0.9,0.85,0.85,0.95,1,0.95,1,1,1,1,1,1
40,31120,15:45:01,4051,1,582767,win,1,26pct,0.85,0.9,0.95,0.9,1,0.95,1,1,1,1,1,0.95,1
40,31320,14:57:07,1052,3,701123,win,1,26pct,0.4,0.5,0.5,0.4,0.9,0.8,0.7,0.95,0.9,0.7,0.7,0.85,0.95
40,31320,15:19:00,6053,4,585154,win,1,26pct,0.75,0.75,0.9,0.75,0.95,1,1,1,1,1,1,1,1
40,31320,15:32:19,6054,5,559077,win,1,26pct,0.95,0.95,0.9,0.85,1,1,1,0.95,1,1,0.95,1,1
40,31320,15:46:57,1055,6,547232,win,1,26pct,0.75,0.9,0.6,0.45,0.95,0.75,0.8,0.8,0.9,0.95,0.9,0.85,1
60,92921,15:03:01,3058,3,546835,win,1,26pct,0.55,0.7,0.85,0.8,0.9,0.7,0.95,0.95,0.8,1,1,0.9,1
60,92921,15:03:11,5060,2,536277,win,1,26pct,0.8,0.75,0.85,0.75,0.9,0.9,0.9,0.8,0.95,0.9,0.9,0.95,0.95
60,100421,14:59:21,6056,5,579942,win,1,38pct,0.85,1,0.95,1,1,1,1,1,0.95,1,0.95,1,1
60,100421,16:13:52,4057,6,627166,win,1,20pct,0.5,0.75,0.8,0.6,0.85,0.85,1,1,1,1,1,1,1
60,100521,15:10:36,2059,2,568922,win,1,41pct,0.7,0.85,0.85,0.95,1,1,0.9,1,1,1,1,0.95,0.95
60,100521,15:23:54,6061,3,613464,win,1,26pct,0.55,0.45,0.6,0.5,0.4,0.45,0.6,0.7,0.4,0.45,0.5,0.55,0.45
60,100521,15:53:15,6062,4,608296,win,1,26pct,0.75,0.85,0.8,0.95,0.9,0.9,0.9,0.95,1,1,0.95,0.85,1
60,100621,14:54:03,2063,5,547165,win,1,30pct,0.6,0.85,0.95,0.95,0.95,1,0.95,1,1,1,1,0.95,1
60,100621,15:30:51,1065,1,344432,win,0,26pct,0.909090909,1,0.923076923,1,1,1,1,0.9,1,0.818181818,0.909090909,1,0.916666667
60,100621,16:05:12,5066,3,571261,win,1,30pct,0.75,0.85,0.85,0.75,0.95,0.9,0.85,1,0.9,0.95,0.95,0.95,0.95
60,100621,16:14:32,6067,2,570746,win,1,20pct,0.5,0.8,0.9,0.95,1,1,0.95,0.95,0.95,0.95,0.95,1,1
60,100721,15:13:01,1069,4,580439,win,1,35pct,0.65,0.95,0.95,0.85,1,0.9,0.95,0.95,0.95,1,0.95,1,0.9
40,100721,15:31:03,3068,1,569428,win,1,26pct,0.7,0.9,0.75,0.75,0.95,0.95,0.85,1,1,0.95,1,1,1
60,100721,15:59:54,4070,2,664024,win,1,42pct,0.55,0.9,0.75,0.95,0.9,1,0.85,0.85,0.95,1,1,1,0.9
60,100721,16:09:39,2071,3,630278,win,1,26pct,0.7,0.95,1,0.9,1,1,1,1,1,1,1,1,1
60,100821,15:06:27,1072,4,547198,win,1,30pct,0.75,0.85,0.9,0.95,0.95,0.9,0.9,0.9,0.95,0.95,0.95,1,1
60,100821,15:33:09,1073,5,555013,win,1,25pct,0.8,0.9,0.95,0.85,0.95,0.95,1,1,1,0.9,1,1,1
60,100821,15:54:21,1074,6,567312,win,1,27pct,0.7,0.7,0.7,0.8,0.75,0.75,0.9,0.75,0.85,0.8,0.75,0.9,0.9
60,101121,15:15:20,1075,5,561941,win,1,26pct,0.95,1,1,0.95,1,1,0.95,1,1,1,1,0.95,1
60,101221,15:08:21,4076,6,617186,win,1,46pct,0.6,1,1,0.9,1,1,1,1,1,1,0.95,1,1
60,101221,15:29:58,5077,1,666748,win,1,23pct,0.6,0.75,0.55,0.6,0.75,0.9,0.7,0.95,0.95,0.9,0.9,0.9,0.95
60,101321,15:06:00,1079,6,554491,win,1,17pct,0.65,0.9,0.95,0.95,0.9,1,0.9,0.85,1,1,1,0.95,0.95
60,101321,15:06:43,5078,5,590995,win,1,21pct,0.55,0.95,0.9,0.8,0.8,0.75,0.9,0.95,0.9,0.95,1,1,0.9
59,101321,15:24:15,1082,1,645761,win,1,20pct,0.8,0.55,1,1,1,1,1,1,1,1,1,1,1
75,101321,15:41:17,5081,2,601335,win,1,37pct,0.8,0.9,0.95,0.9,0.9,1,0.95,1,1,1,1,1,1
60,101321,15:48:45,6080,3,588781,win,1,26pct,0.55,0.9,0.95,0.95,1,0.95,0.95,1,1,1,1,1,0.95
60,101421,15:24:19,3083,4,766969,win,1,37pct,0.7,1,0.9,0.8,0.85,0.85,0.8,0.9,0.9,0.85,0.85,0.9,0.95
60,101521,15:12:52,5084,5,700696,win,1,17pct,0.6,0.9,0.95,0.95,1,1,1,1,1,1,1,1,1
60,101821,15:03:47,2086,1,587736,win,1,20pct,0.75,1,0.95,0.95,1,1,0.9,1,1,1,1,1,1
60,101821,15:12:35,2085,2,567525,win,1,30pct,0.85,1,1,1,1,1,1,1,0.95,1,1,0.9,1
59,101821,15:52:33,1087,4,537077,win,1,20pct,0.6,0.6,0.85,0.75,1,0.85,0.95,0.95,0.95,1,1,0.8,0.95
60,102021,15:26:36,4090,3,615812,win,1,19pct,0.6,0.95,0.95,1,0.9,1,1,1,1,1,1,1,1
60,102021,15:26:29,3088,6,623139,win,1,49pct,0.65,0.85,0.95,0.85,0.95,1,0.95,0.85,1,1,1,1,1
60,102021,15:35:58,5089,2,673752,win,1,19pct,0.55,0.85,0.95,0.9,0.85,0.95,1,1,0.9,1,1,0.95,1
59,102021,15:45:49,4091,1,582926,win,1,22pct,0.45,0.55,0.9,0.85,0.85,0.95,1,0.95,1,0.95,0.95,1,1
60,102121,15:15:25,4092,4,570685,win,1,26pct,0.7,0.9,0.9,0.85,1,0.95,0.85,1,1,0.95,0.95,0.95,0.95
60,102221,15:16:04,5093,5,754528,win,1,29pct,0.5,0.95,0.85,0.85,0.9,0.85,1,1,0.95,0.95,0.9,0.95,1
60,102221,15:53:17,3094,6,593503,win,1,36pct,0.8,0.7,0.9,0.95,0.95,0.95,0.95,1,0.95,0.9,0.95,0.95,1
60,102521,15:00:20,4095,4,552106,win,1,26pct,0.9,1,0.95,0.95,1,0.9,0.9,1,0.85,1,1,0.9,1
59,102521,15:09:36,6097,3,590005,win,1,26pct,0.85,0.8,0.9,0.95,1,1,1,0.95,0.95,1,1,0.95,0.95
60,102521,15:11:09,5093,2,638925,win,1,26pct,0.6,0.9,0.9,0.85,0.9,0.95,0.95,0.95,0.75,0.85,0.9,0.95,0.9
60,102621,14:59:33,1096,5,544641,win,1,26pct,0.9,0.95,1,0.9,0.95,0.95,0.8,0.95,0.95,0.95,0.85,1,1
60,102621,16:01:06,2099,6,609926,win,1,14pct,0.6,1,1,0.85,1,1,1,1,1,1,1,1,1
60,102721,15:12:26,3100,1,659098,win,1,20pct,0.85,0.95,0.65,0.95,0.95,1,0.95,0.95,0.95,1,1,0.95,1
60,102721,15:21:58,5101,2,573666,win,1,15pct,0.55,0.85,0.85,0.8,0.9,0.95,1,0.95,0.95,0.9,0.8,1,1
75,102721,15:25:45,2102,3,564413,win,1,20pct,0.6,0.85,0.9,0.85,0.9,0.95,0.95,0.9,1,1,0.95,1,1
60,102721,15:43:08,2103,4,574708,win,1,20pct,0.7,0.65,0.85,0.85,1,0.85,0.9,1,1,1,0.95,1,1
59,102721,15:46:03,1104,5,568496,win,1,30pct,0.75,0.6,0.9,1,0.95,1,0.95,1,1,1,0.95,1,1
60,102821,15:10:37,2106,6,696031,win,1,37pct,0.9,0.85,0.75,0.65,0.85,0.9,0.95,0.85,0.95,0.95,0.9,0.85,0.9
60,102821,15:16:58,3107,4,614875,win,1,37pct,0.65,0.9,0.85,0.8,0.9,0.85,0.9,0.85,1,0.95,0.9,0.9,1
60,102921,15:33:40,4105,5,560696,win,1,19pct,0.75,0.95,1,0.9,1,0.95,1,1,1,1,0.95,1,0.95
60,110121,15:35:14,6108,6,614737,win,1,38pct,0.8,0.95,0.95,0.95,0.95,1,1,1,1,1,1,1,1
60,110121,15:40:31,1109,1,912949,win,1,51pct,0.7,0.95,0.7,0.6,0.95,0.9,0.8,1,1,0.85,0.95,0.95,0.9
60,110221,15:01:55,3111,2,570539,win,1,10pct,0.6,0.85,0.75,0.85,0.9,0.95,1,1,1,1,1,0.95,1
60,110221,15:02:06,6110,3,593383,win,1,20pct,0.65,0.85,0.95,1,0.95,0.9,0.95,0.9,0.9,1,0.95,1,0.85
60,110221,15:36:28,1112,4,562153,win,1,26pct,0.65,1,1,0.95,0.9,0.95,1,0.95,0.95,1,1,0.95,1
75,110221,15:38:49,5113,5,597609,win,1,14pct,0.7,0.85,1,0.95,1,0.95,1,1,1,0.95,1,1,1
60,110321,15:01:14,4114,6,528229,win,1,26pct,0.75,0.95,0.8,0.95,0.95,1,0.95,0.95,0.9,1,1,0.85,0.9
60,110321,15:05:41,1115,1,676176,win,1,17pct,0.8,1,0.85,0.8,0.95,0.9,1,0.9,1,0.95,1,1,0.95
59,110321,15:35:07,2117,3,582690,win,1,19pct,0.85,0.8,1,0.95,1,1,1,1,1,1,1,1,1
60,110321,15:41:55,1116,2,574084,win,1,20pct,0.6,0.85,1,0.9,0.95,0.9,0.95,0.95,1,1,0.95,0.95,0.9
60,110421,15:13:10,6120,2,527108,win,1,26pct,0.45,0.85,0.95,0.85,0.85,0.75,0.9,0.85,0.95,1,0.8,0.95,0.9
60,110421,15:14:06,5118,6,576857,win,1,21pct,0.45,0.9,0.85,0.7,1,1,0.95,0.95,1,1,1,1,0.95
60,110421,15:17:06,5119,1,545276,win,1,26pct,0.6,0.75,0.75,0.7,0.85,0.8,0.95,0.9,0.9,0.85,0.95,1,0.95
59,110421,15:24:55,4121,4,563361,win,1,26pct,0.9,0.85,1,1,0.95,1,1,1,1,1,1,1,1
75,110421,15:29:02,2123,5,594268,win,1,26pct,0.65,0.7,0.9,0.8,0.9,0.95,1,0.95,0.85,1,0.9,0.85,0.85
60,110521,14:59:28,1122,3,616497,win,1,20pct,0.65,1,1,0.9,0.95,1,1,1,1,1,1,1,1
75,110521,15:22:03,6126,5,609277,win,1,19pct,0.7,0.85,0.75,0.9,0.85,1,0.9,1,0.95,1,0.95,0.95,0.95
59,110521,15:29:33,4125,4,735343,win,1,20pct,0.65,0.8,0.95,0.95,0.95,1,1,1,1,1,1,1,1
60,110521,15:31:54,4124,1,671778,win,1,18pct,0.55,0.95,0.95,0.95,1,1,1,1,1,1,0.95,0.95,1
60,110521,15:46:44,6128,6,630663,win,1,26pct,0.8,0.75,0.8,0.75,0.85,0.85,1,0.95,1,1,1,1,0.95
60,110821,15:20:37,4127,4,576226,win,1,29pct,0.7,0.9,0.85,0.85,0.95,0.9,0.95,0.85,1,0.95,0.95,1,0.9
60,110821,15:19:54,4129,5,626870,win,1,26pct,0.55,0.85,0.8,1,0.95,0.85,0.9,0.95,1,0.9,1,0.9,1
59,110821,15:24:13,5130,6,545678,win,1,40pct,0.75,0.7,1,0.9,1,1,1,1,1,1,0.85,0.95,0.95
75,110821,15:34:11,4132,1,558636,win,1,32pct,0.85,0.95,1,0.95,0.85,0.95,0.95,1,1,1,1,1,1
60,110821,15:40:30,3131,2,558993,win,1,26pct,0.5,0.75,0.65,0.75,0.7,0.75,0.9,0.9,0.65,0.85,0.75,0.85,0.85
60,110921,15:07:22,4133,3,576912,win,1,26pct,0.8,1,0.95,0.8,1,1,1,0.95,0.9,0.95,0.95,1,0.9
60,110921,15:33:03,1134,4,684627,win,1,24pct,0.65,0.7,0.95,0.75,0.85,0.8,0.75,0.8,0.95,1,0.95,0.85,0.85
60,111021,15:17:49,5135,5,612697,win,1,22pct,0.85,1,1,0.95,1,1,1,1,1,1,1,1,1
75,111021,15:41:29,6138,2,573269,win,1,42pct,0.85,0.9,0.9,0.9,1,0.95,1,1,1,1,1,0.95,1
59,111021,15:42:16,6137,1,553945,win,1,28pct,0.6,0.65,0.8,0.95,0.95,0.9,0.85,0.95,0.95,1,1,0.95,1
60,111021,15:43:34,3136,6,594519,win,1,26pct,0.55,0.95,1,0.9,0.95,1,0.95,1,1,1,1,0.95,1
60,111121,15:20:53,2139,3,579229,win,1,11pct,0.65,0.95,0.95,0.8,1,1,1,1,1,1,1,1,1
60,111121,15:32:52,3140,4,573244,win,1,33pct,0.65,0.75,0.8,0.6,0.75,0.75,0.8,0.85,0.75,0.8,0.75,0.9,0.8
60,111221,15:07:18,5142,5,644840,win,1,15pct,0.55,0.6,0.65,0.7,0.8,0.8,0.9,0.95,0.8,0.85,0.85,0.9,1
60,111221,15:23:24,6141,6,554068,win,1,26pct,0.55,0.85,0.8,0.85,0.95,0.95,0.9,0.95,0.95,1,1,1,1
75,111221,15:33:42,5143,1,617690,win,1,21pct,0.35,0.8,0.75,0.95,0.9,0.9,1,1,1,1,1,1,1
60,111521,15:06:37,5145,3,544553,win,1,30pct,0.95,0.9,0.9,1,1,1,1,1,0.95,0.85,0.95,0.95,0.95
60,111521,15:06:52,5144,2,556321,win,1,19pct,0.55,0.85,0.85,0.95,0.95,1,0.95,1,1,1,1,0.95,1
60,111721,15:16:22,1146,1,574267,win,1,34pct,0.85,0.9,1,0.75,1,0.95,1,1,1,1,1,0.95,1
60,111721,15:18:22,2147,2,589761,win,1,27pct,0.65,0.9,1,0.85,0.95,0.9,0.95,0.95,1,1,1,0.95,0.95
75,111721,15:25:43,5148,3,735334,win,1,34pct,0.85,0.85,0.95,1,0.95,0.9,1,1,1,0.9,1,1,1
59,111721,15:47:02,3149,4,540960,win,1,26pct,0.6,0.55,0.95,0.95,0.95,0.95,0.9,0.95,0.9,0.95,0.85,0.95,1
60,111721,15:47:12,6150,5,532060,win,1,26pct,0.75,0.85,0.95,0.95,1,0.95,1,1,1,1,1,1,1
60,111821,15:05:57,5151,6,705972,win,1,27pct,0.5,0.85,0.65,0.5,0.65,0.75,0.8,0.95,0.85,0.85,0.75,0.75,0.85
60,111821,15:10:03,1152,1,554886,win,1,52pct,0.85,0.8,0.85,0.65,0.95,0.95,1,0.95,1,1,0.95,1,1
59,111821,15:17:44,5154,3,582307,win,1,32pct,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1
60,111821,15:17:29,6153,2,604926,win,1,33pct,0.8,0.8,0.95,0.95,0.95,0.9,1,0.95,0.95,1,0.9,0.95,1
60,111821,15:39:27,2156,5,575188,win,1,26pct,0.85,0.95,0.9,0.95,0.95,1,1,1,1,1,0.95,0.95,1
75,111821,15:44:12,3155,6,593531,win,1,26pct,0.55,0.85,0.9,0.95,0.85,1,0.95,0.95,1,0.95,0.95,1,0.95
60,111921,14:56:12,6158,1,545295,win,1,18pct,0.75,0.9,0.95,0.95,1,1,1,1,0.95,1,1,1,1
60,111921,15:05:50,3157,2,557843,win,1,29pct,0.85,0.9,0.95,0.7,0.95,0.95,0.95,0.9,0.85,1,1,1,0.9
59,111921,15:41:43,3159,3,643557,win,1,20pct,0.85,0.6,1,0.95,1,1,1,1,1,1,1,1,1
60,111921,15:44:46,4160,4,786051,win,1,18pct,0.45,0.75,0.8,0.9,0.95,0.95,0.9,0.95,1,1,1,1,1
60,112221,15:02:11,2161,5,551456,win,1,20pct,0.65,0.95,0.95,1,1,0.95,0.95,0.95,1,1,0.95,0.95,0.95
60,112221,15:08:18,4162,6,602228,win,1,18pct,0.5,0.65,0.7,0.9,0.95,0.9,1,0.9,1,0.95,1,0.95,0.95
75,112221,15:28:30,2163,1,543916,win,1,18pct,0.75,1,1,0.95,1,1,1,1,1,1,1,1,1
59,112221,15:36:27,5164,2,569867,win,1,15pct,0.5,0.7,0.95,0.9,1,1,0.95,1,1,1,1,1,1
60,112321,15:07:21,1166,4,576285,win,1,26pct,0.7,1,0.85,0.8,1,1,1,0.95,0.95,1,0.9,0.95,1
60,112321,15:13:09,4165,3,720074,win,1,32pct,0.6,0.8,0.9,0.8,0.85,0.95,0.9,0.85,1,1,1,1,1
60,112421,15:03:35,2167,5,643660,win,1,23pct,0.85,0.95,0.95,0.95,1,1,0.95,1,1,1,1,1,1
60,112521,15:24:44,5169,1,558311,win,1,26pct,0.65,0.9,0.95,1,1,1,1,0.9,1,1,1,1,0.95
60,112521,15:28:32,3168,6,547432,win,1,24pct,0.65,0.75,0.95,0.9,0.95,1,0.95,1,0.9,1,0.95,1,0.95
60,112621,15:11:20,6171,2,563287,win,1,26pct,0.6,0.9,0.95,0.85,0.95,1,0.95,0.9,0.95,0.9,0.95,0.95,0.95
60,112621,15:13:15,3170,3,640571,win,1,20pct,0.95,1,0.95,0.95,1,1,1,1,1,1,1,1,1
60,112921,15:05:10,3172,4,702925,win,1,47pct,0.45,0.4,0.4,0.6,0.45,0.4,0.65,0.55,0.45,0.45,0.45,0.6,0.25
60,113021,15:10:38,4173,6,595314,win,1,29pct,0.7,0.8,0.95,0.95,1,0.95,0.9,0.95,1,1,0.95,1,1
60,113021,16:08:12,5174,1,1317903,win,1,26pct,0.8,0.9,0.95,0.95,1,1,0.95,1,0.9,1,0.95,1,1
60,120121,15:14:58,3175,2,543395,win,1,35pct,0.8,0.95,0.8,0.8,0.9,0.95,0.9,1,1,0.95,1,1,0.95
60,120121,15:27:08,6176,3,608800,win,1,19pct,0.75,0.9,0.9,0.85,0.95,0.95,0.9,0.95,0.95,0.95,0.95,0.95,0.9
60,120221,15:20:06,2177,4,566098,win,1,41pct,0.85,0.9,0.75,0.85,0.95,0.9,0.8,1,0.95,0.9,1,1,1
60,120221,16:10:02,2178,6,555057,win,1,14pct,0.4,1,0.9,0.95,1,1,1,0.95,0.95,1,0.95,0.95,1
60,120621,15:06:30,6180,1,622381,win,1,18pct,0.55,0.85,0.85,0.9,1,1,0.95,1,0.95,1,1,1,1
60,120621,15:08:00,4179,2,582769,win,1,37pct,0.8,1,0.9,0.9,0.85,0.8,0.95,0.85,0.85,0.95,0.9,0.8,0.9
60,120721,14:56:54,3181,3,534231,win,1,26pct,0.9,1,0.95,1,1,1,0.95,1,1,1,1,1,0.95
60,120721,15:39:39,4182,4,705150,win,1,27pct,1,0.95,1,0.95,0.95,0.95,0.95,1,0.95,1,1,1,1
59,120721,16:01:23,5183,5,564952,win,1,26pct,0.65,0.75,0.95,0.8,0.85,0.95,1,0.95,1,0.95,1,0.95,0.9
60,120821,15:00:27,3185,1,560118,win,1,26pct,0.75,0.85,0.8,0.85,0.75,0.75,1,0.95,0.9,0.95,0.85,0.8,1
60,120821,15:00:16,6184,6,584094,win,1,26pct,0.5,0.65,0.7,0.8,0.8,0.6,0.8,0.8,0.65,0.75,0.85,0.9,1
60,121021,15:18:44,6188,4,576058,win,1,18pct,0.6,0.95,1,0.95,1,0.95,1,1,0.95,1,0.9,1,1
60,121021,15:21:33,5187,3,730545,win,1,26pct,0.55,0.7,0.5,0.55,0.25,0.55,0.55,0.5,0.6,0.5,0.6,0.45,0.6
60,121021,15:23:12,4186,2,676115,win,1,20pct,0.6,0.9,1,1,0.9,0.95,1,0.95,0.95,0.95,1,1,1
75,121021,15:34:01,3189,5,585737,win,1,26pct,0.5,0.8,0.7,0.7,1,0.9,1,0.95,1,1,1,1,1
