display.refreshrate,script.startdate,script.starttime,script.subjectid,script.groupid,script.elapsedtime,computer.platform,values.completed,parameters.stimpic_height,expressions.propcorrect_stim1,expressions.propcorrect_stim2,expressions.propcorrect_stim3,expressions.propcorrect_stim4,expressions.propcorrect_stim5,expressions.propcorrect_stim6,expressions.propcorrect_stim7,expressions.propcorrect_stim8,expressions.propcorrect_stim9,expressions.propcorrect_stim10,expressions.propcorrect_stim11,expressions.propcorrect_stim12,expressions.propcorrect_stim13
40,12820,15:35:23,5001,6,558804,win,1,26pct,0.95,0.85,0.95,0.8,1,0.95,1,1,1,1,1,1,1
60,12820,15:48:10,5002,1,570830,win,1,19pct,0.4,0.8,0.9,0.9,1,0.95,1,1,1,1,1,1,1
40,12820,16:07:06,3003,2,562010,win,1,26pct,0.6,0.7,0.6,0.6,1,0.8,0.9,0.95,1,1,0.85,0.9,1
40,12820,16:29:53,1004,3,631576,win,1,29pct,0.5,0.45,0.7,0.6,0.5,0.5,0.8,0.7,0.75,0.85,0.8,0.95,0.8
40,12920,15:27:23,2005,4,546011,win,1,26pct,0.9,0.95,1,0.9,0.95,0.95,0.95,1,1,1,1,1,1
40,12920,15:47:06,3006,5,574222,win,1,26pct,0.85,0.8,0.9,1,1,1,1,0.95,0.95,1,0.95,0.95,1
40,12920,16:08:36,1007,6,581904,win,1,26pct,0.85,0.9,0.9,0.9,0.95,1,1,1,1,0.95,1,0.95,1
40,13120,15:35:20,1008,1,589470,win,1,26pct,0.95,0.9,0.9,1,0.95,1,1,1,1,0.95,1,1,1
40,13120,15:51:30,5009,2,603931,win,1,34pct,0.8,0.85,0.9,0.8,1,0.95,1,0.95,1,1,0.95,1,1
40,13120,16:06:34,5010,3,630545,win,1,26pct,0.85,0.8,0.8,0.8,0.9,1,0.95,1,1,1,0.95,1,1
40,20420,15:33:24,1011,4,561154,win,1,26pct,0.75,0.85,0.8,0.9,0.95,1,0.95,1,1,1,1,1,1
40,20420,15:58:42,2012,5,610662,win,1,26pct,0.9,0.8,0.8,0.75,0.85,0.9,1,0.95,0.95,0.95,1,0.95,0.95
