display.refreshrate,script.startdate,script.starttime,script.subjectid,script.groupid,script.elapsedtime,computer.platform,values.completed,parameters.stimpic_height,expressions.propcorrect_stim1,expressions.propcorrect_stim2,expressions.propcorrect_stim3,expressions.propcorrect_stim4,expressions.propcorrect_stim5,expressions.propcorrect_stim6,expressions.propcorrect_stim7,expressions.propcorrect_stim8,expressions.propcorrect_stim9,expressions.propcorrect_stim10,expressions.propcorrect_stim11,expressions.propcorrect_stim12,expressions.propcorrect_stim13
60,30620,14:06:17,3044,1,680733,win,1,17pct,0.5,0.8,0.65,0.8,0.75,0.8,1,0.95,0.9,0.95,0.95,0.9,1
75,30620,14:08:58,6043,2,715850,win,1,18pct,0.5,0.75,0.75,0.95,1,0.95,0.9,1,1,1,1,1,0.95
75,31020,14:13:03,6045,3,675381,win,1,19pct,0.65,0.95,0.95,1,1,1,1,1,1,1,1,1,1
60,31020,14:24:51,1046,4,766129,win,1,18pct,0.7,0.95,0.9,0.8,0.95,0.95,0.95,0.9,0.95,1,1,1,1
75,31020,14:50:28,4047,5,698054,win,1,19pct,0.8,1,0.85,1,0.95,0.95,0.95,1,1,0.95,1,0.95,1
60,31020,15:07:59,5047,6,743999,win,1,25pct,1,0.9,1,0.95,1,1,1,0.95,1,1,1,1,1
75,31120,14:11:19,2049,1,640296,win,1,19pct,0.45,1,0.9,0.9,0.95,0.95,1,1,1,1,1,1,1
60,31120,14:25:26,4050,2,715810,win,1,16pct,0.6,0.9,0.8,0.65,0.9,0.85,0.85,1,0.85,0.95,0.95,0.9,1
75,31120,14:52:43,4051,3,693023,win,1,19pct,0.5,0.9,0.9,1,1,0.95,1,1,1,1,1,1,1
60,31320,14:01:51,1052,4,708285,win,1,26pct,0.3,0.45,0.4,0.4,0.25,0.45,0.2,0.15,0.2,0.25,0.15,0.15,0.25
75,31320,14:20:59,6053,5,756044,win,1,19pct,0.6,1,0.75,0.95,0.95,1,1,0.95,0.95,1,0.95,1,1
60,31320,14:44:29,6054,6,653309,win,1,18pct,0.5,0.95,1,1,0.95,0.95,0.85,1,1,1,1,1,1
75,31320,15:01:14,1055,2,605573,win,1,19pct,0.55,0.9,0.65,0.8,0.7,0.9,0.95,0.7,0.9,0.8,0.8,0.95,0.95
60,92921,12:49:47,9999,6,781479,win,1,26pct,0.6,0.9,0.95,0.85,0.9,1,1,1,1,1,1,1,1
60,92921,14:06:24,3058,1,668337,win,1,26pct,0.75,0.95,0.8,0.6,1,0.85,1,0.95,0.9,1,1,0.95,1
60,92921,14:07:53,5060,2,606588,win,1,26pct,0.65,0.75,0.8,0.7,0.8,0.9,1,0.95,1,0.95,0.9,0.9,0.9
60,100421,14:03:50,6056,3,703039,win,1,31pct,0.4,1,0.85,1,0.95,0.95,1,1,1,1,1,1,1
60,100421,15:12:04,4057,4,767353,win,1,19pct,0.65,0.9,0.85,0.75,0.9,0.9,0.95,1,1,1,1,1,0.95
60,100521,14:10:22,2059,3,679997,win,1,26pct,0.8,1,1,0.9,1,1,0.95,1,1,1,1,1,1
60,100521,14:31:31,6061,4,717495,win,1,23pct,0.55,0.8,0.7,0.85,0.6,0.7,0.7,0.95,0.75,0.75,0.7,0.9,0.65
60,100521,14:47:50,6062,5,657353,win,1,26pct,0.85,0.95,0.95,0.95,0.95,0.9,1,0.8,0.9,0.85,0.95,0.95,0.9
60,100621,14:03:20,2063,6,724178,win,1,28pct,0.7,0.9,0.85,0.9,0.95,0.85,0.95,0.8,1,0.95,0.9,1,1
60,100621,14:35:20,4064,1,671660,win,1,26pct,0.85,0.95,1,1,0.95,1,1,1,1,1,1,1,1
60,100621,14:40:53,1065,2,686402,win,1,26pct,0.75,0.95,1,0.95,0.95,1,0.95,1,1,0.9,0.95,1,0.95
60,100621,15:05:49,5066,3,635261,win,1,26pct,0.6,0.8,0.85,0.9,0.9,0.9,0.9,0.95,1,0.9,1,0.95,1
60,100621,15:14:09,6067,4,711930,win,1,13pct,0.7,0.85,0.85,0.85,0.95,0.95,1,1,0.95,0.85,1,0.95,0.95
60,100721,14:16:07,1069,2,690095,win,1,26pct,0.85,0.95,0.85,0.95,0.85,1,1,1,1,0.9,0.9,1,1
60,100721,14:21:52,3068,3,788708,win,1,26pct,0.65,0.85,1,0.95,1,1,0.95,1,0.9,0.9,1,1,1
60,100721,14:55:39,4070,4,673828,win,1,69pct,0.4,0.95,0.75,0.9,0.95,0.95,0.9,1,1,0.95,0.95,1,0.95
60,100721,15:12:07,2071,5,792251,win,1,26pct,0.75,0.9,0.95,0.8,1,1,1,1,1,1,1,1,1
60,100821,14:09:42,1072,1,662202,win,1,22pct,0.8,0.95,0.95,0.9,1,1,1,1,1,0.95,1,0.95,1
60,100821,14:39:08,1073,2,685977,win,1,26pct,0.6,0.95,0.95,0.9,0.95,0.95,0.95,0.95,0.95,1,1,0.95,1
60,100821,14:56:07,1074,3,701581,win,1,26pct,0.6,0.8,0.85,0.75,0.95,0.85,1,0.95,0.9,0.95,0.95,0.95,1
60,101121,14:21:02,1075,5,630032,win,1,26pct,0.95,1,0.95,0.95,1,1,1,1,0.95,1,1,1,1
60,101221,14:12:35,4076,1,775353,win,1,30pct,0.85,0.95,0.85,0.9,1,1,1,1,1,1,1,1,1
60,101221,14:26:11,5077,2,783187,win,1,19pct,0.6,0.65,0.6,0.5,0.8,0.7,0.9,0.95,0.95,0.8,0.95,0.95,1
60,101321,14:12:34,5078,6,752987,win,1,21pct,0.7,0.75,0.9,0.8,0.95,0.95,1,0.9,1,0.95,1,1,0.95
60,101321,14:20:06,1079,2,636032,win,1,17pct,0.65,0.95,0.95,0.9,0.95,1,1,0.95,0.95,1,1,1,1
59,101321,14:29:50,1082,3,761943,win,1,20pct,0.75,0.65,1,1,1,0.95,1,1,1,1,0.9,1,1
75,101321,14:43:25,5081,4,704872,win,1,26pct,0.7,0.95,0.8,0.9,1,1,1,0.95,0.95,1,1,1,1
60,101321,14:51:31,6080,5,782737,win,1,16pct,0.55,0.95,0.85,0.85,1,1,1,0.95,0.95,1,1,1,1
60,101421,14:24:02,3083,6,755067,win,1,30pct,0.75,0.7,0.85,0.85,0.9,0.9,0.85,1,1,1,0.85,1,0.95
60,101521,14:17:10,5084,1,856532,win,1,16pct,0.8,0.9,1,0.9,1,1,1,1,1,1,1,1,1
60,101821,14:09:53,2086,2,732398,win,1,20pct,0.6,0.95,0.8,0.95,0.95,0.95,1,1,1,1,0.95,1,1
60,101821,14:16:27,2085,3,700792,win,1,26pct,0.95,1,1,1,1,1,1,1,1,1,1,1,1
59,101821,15:01:51,1087,4,617049,win,1,18pct,0.7,0.8,0.8,0.85,1,0.95,0.9,0.95,0.95,0.9,0.95,1,0.95
60,102021,14:22:18,3088,5,794197,win,1,25pct,0.65,1,0.95,0.95,1,1,1,1,1,0.95,1,1,0.95
