"values.mood1","values.mood2","values.mood3","values.mood4","values.mood5","values.mood6","values.mood7","values.mood8","values.mood9","values.mood10","values.mood11","values.mood12","values.mood13","values.mood14","values.mood15","values.mood16"
"58","44","45","39","56","59","39","47","47","49","42","38","40","43","37","46"
"18","15","21","20","13","27","13","14","21","21","18","13","12","17","34","29"
"54","34","62","52","63","64","17","20","63","22","69","41","8","7","8","28"
"69","42","65","67","75","75","42","21","72","40","81","56","34","28","53","43"
"66","66","36","42","53","24","27","38","62","25","66","39","29","32","29","40"
"57","49","65","63","64","56","51","49","55","47","55","56","49","48","50","49"
"41","65","44","43","61","42","43","44","38","42","35","43","34","61","54","41"
"70","82","1","67","74","25","9","6","60","3","40","19","1","1","1","6"
"43","39","41","21","31","44","31","28","36","25","29","32","49","30","59","43"
"28","29","32","53","39","34","30","44","31","36","46","42","18","35","27","41"
"55","35","54","65","56","55","59","46","58","46","60","58","48","60","56","64"
"66","14","20","62","42","63","61","30","67","43","69","41","25","42","39","67"
"1","1","1","22","1","11","1","25","1","32","26","21","6","1","1","5"
"69","25","56","33","60","60","16","29","59","33","65","56","21","25","59","12"
"83","62","100","94","80","83","100","100","84","87","100","87","100","33","79","77"
"70","75","38","70","69","24","34","25","16","17","78","37","28","29","26","35"
"73","31","69","77","64","65","62","35","76","22","64","42","23","12","69","62"
"58","24","46","31","66","34","34","36","42","25","62","32","31","22","28","37"
"63","17","45","46","33","66","47","28","58","24","36","48","37","18","34","11"
"29","54","54","55","55","42","54","54","43","58","53","54","48","53","45","53"
"36","22","16","32","23","32","37","33","25","30","31","21","29","20","31","37"
"44","66","41","55","48","48","44","47","45","41","42","43","15","21","16","44"
"60","41","32","56","50","59","42","29","58","28","67","49","36","21","47","64"
"53","43","48","43","45","41","46","45","47","45","45","45","43","42","47","45"
"72","85","59","68","67","64","15","31","67","24","62","58","8","24","16","30"
"32","15","27","1","1","38","35","1","44","1","25","21","24","1","39","62"
"87","42","54","63","52","66","60","49","66","46","61","67","55","46","55","67"
"41","41","44","43","62","36","56","37","59","44","61","44","43","39","60","59"
"83","24","77","77","82","79","80","40","76","26","72","67","68","67","71","65"
"59","40","63","64","59","67","36","35","53","22","44","43","38","46","42","47"
"69","38","16","61","22","69","12","8","75","6","62","19","14","13","14","60"
"32","37","38","53","31","31","38","34","42","30","39","37","30","34","40","39"
"41","15","46","47","47","43","35","40","40","14","16","4","15","43","39","46"
"51","38","39","36","46","57","44","39","44","41","60","38","40","45","49","61"
"13","16","13","1","4","21","15","14","16","9","20","12","10","11","40","14"
"40","66","57","24","22","36","27","27","20","31","30","34","15","9","31","7"
"32","32","39","36","64","68","31","36","63","36","63","36","34","36","34","35"
"33","30","13","37","32","57","34","6","41","19","32","20","16","57","34","64"
"58","18","35","32","35","54","29","20","43","23","44","25","14","20","29","39"
"76","18","58","62","42","63","28","32","58","22","59","42","35","25","57","35"
"53","36","47","57","54","49","41","34","53","34","60","44","30","38","31","56"
"43","54","54","52","63","43","50","36","38","44","46","46","49","46","68","37"
"62","37","42","43","39","62","35","38","42","37","59","37","44","44","25","46"
"72","33","36","58","42","62","42","20","39","30","72","29","33","37","38","38"
"54","41","48","46","43","57","44","38","43","37","44","45","29","27","43","46"
"40","37","35","41","42","37","39","40","40","32","34","36","35","28","38","38"
"55","27","42","55","41","44","41","25","40","34","71","41","41","41","46","36"
"86","27","67","83","33","64","66","34","84","28","84","68","41","36","27","62"
"46","46","49","53","43","49","49","47","48","30","53","49","47","48","46","52"
"62","44","65","71","55","73","35","31","43","43","70","43","37","67","60","50"
"68","15","39","59","60","68","20","22","57","16","66","33","22","14","68","1"
"7","4","13","16","12","5","19","9","17","8","9","10","16","9","12","14"
"45","40","20","33","20","33","18","24","42","15","54","27","20","46","55","23"
"54","68","40","48","58","34","14","33","39","33","61","34","23","25","41","24"
"57","67","30","62","44","31","5","16","37","11","60","39","18","7","22","20"
"22","29","27","26","26","50","22","49","37","35","26","27","21","29","84","50"
"57","37","57","57","57","64","46","49","56","51","58","46","48","44","58","48"
"88","31","80","98","100","100","94","94","100","56","100","86","70","48","78","98"
"88","28","66","37","45","62","38","29","24","63","62","34","67","39","56","61"
"62","27","64","68","35","62","36","55","31","60","39","33","58","25","34","31"
"63","9","31","1","1","18","7","1","27","21","12","15","1","48","1","26"
"53","39","50","45","48","62","53","48","61","48","59","59","50","54","49","48"
"32","32","58","52","24","30","31","33","40","33","28","34","26","19","33","27"
"36","31","24","66","17","39","9","17","32","15","60","29","12","13","22","13"
"61","40","25","38","35","40","71","33","55","42","32","38","29","58","58","37"
"69","25","56","34","73","86","25","24","30","23","78","34","18","29","38","44"
"59","17","18","54","41","58","33","35","43","31","61","38","23","18","17","45"
"62","42","61","59","59","68","52","45","65","40","64","56","52","50","60","55"
"12","1","39","54","6","19","1","3","33","1","11","21","1","15","9","39"
"62","25","41","67","67","64","39","42","77","19","73","62","42","36","62","44"
"61","46","56","59","30","57","41","40","64","40","58","44","50","35","58","56"
"56","29","39","39","32","58","27","34","39","31","24","22","30","36","39","15"
"51","46","38","43","16","56","29","40","30","37","67","22","19","23","50","30"
"73","32","55","83","74","78","81","24","81","37","84","60","48","56","71","71"
"15","69","9","15","34","71","13","4","31","2","68","12","13","27","20","21"
"50","38","35","28","24","61","51","24","27","20","29","26","43","38","35","63"
"72","25","62","58","58","72","46","41","69","38","61","45","49","52","65","59"
"59","41","43","54","36","66","40","40","60","26","52","35","26","42","59","56"
"64","31","32","22","35","64","26","34","57","30","38","36","37","40","33","60"
"54","41","56","54","43","45","56","53","54","46","42","36","57","43","53","56"
"84","53","59","58","60","69","55","57","57","56","54","61","56","66","54","56"
"61","30","54","57","40","94","42","43","100","37","73","44","62","44","100","45"
"58","44","53","55","47","55","40","40","45","43","48","40","39","43","47","52"
"60","64","59","60","56","60","47","41","57","33","46","52","44","40","34","44"
"37","41","40","63","34","35","33","41","41","40","34","33","34","25","85","40"
"69","23","71","70","43","76","67","40","74","28","72","63","55","64","76","65"
"41","21","72","72","40","97","54","85","62","23","41","60","65","33","59","83"
"56","43","45","53","48","46","49","43","53","46","54","45","39","48","48","48"
"58","46","43","57","58","47","46","39","60","48","56","47","45","47","47","49"
"88","25","61","26","60","59","24","41","48","38","64","59","47","31","91","56"
"27","63","45","48","40","53","42","47","48","47","45","42","43","50","46","43"
"62","60","44","36","63","65","42","67","43","65","36","40","34","30","40","44"
"18","19","21","16","22","8","27","10","15","8","24","20","42","18","23","30"
"56","44","63","41","65","41","58","65","59","40","61","61","47","32","62","67"
"41","57","38","42","32","43","26","43","40","44","39","43","40","46","30","42"
"71","62","37","41","68","68","63","76","68","63","61","33","18","17","20","24"
"77","22","82","80","19","70","23","25","71","21","72","22","16","16","69","75"
"55","65","39","63","42","45","36","36","65","59","40","61","41","39","20","40"
"67","15","65","39","24","90","56","35","80","27","83","16","14","46","93","40"
"69","31","57","62","59","71","20","66","63","29","72","42","36","38","66","64"
