"values.satisE","values.bitterE","values.bodyE","values.likingE","values.refreshmentE","values.factor1E","values.factor2E","values.factor3E"
"59","39","40","72","80","59","0","0"
"58","51","47","69","71","59","0","0"
"76","72","35","84","74","25","0","0"
"86","74","87","49","84","68","0","0"
"42","72","68","61","80","75","0","0"
"48","54","53","50","55","50","0","0"
"52","48","36","52","53","50","0","0"
"26","62","40","32","47","53","0","0"
"62","65","56","32","67","66","0","0"
"85","77","74","80","85","71","0","0"
"42","43","47","63","58","44","0","0"
"57","58","70","71","64","43","0","0"
"70","75","35","66","60","24","0","0"
"26","74","24","23","17","64","0","0"
"43","74","65","27","70","56","0","0"
"78","21","29","26","30","34","0","0"
"57","73","61","39","57","47","0","0"
