"values.mood1","values.mood2","values.mood3","values.mood4","values.mood5","values.mood6","values.mood7","values.mood8","values.mood9","values.mood10","values.mood11","values.mood12","values.mood13","values.mood14","values.mood15","values.mood16"
"39","17","29","25","12","22","1","21","34","27","7","1","21","23","10","43"
"33","59","36","34","33","39","43","19","42","60","37","32","27","29","41","35"
"28","24","22","23","15","64","17","23","28","18","59","16","12","11","39","27"
"13","60","26","20","23","32","12","11","11","27","11","14","1","23","21","14"
"21","47","21","32","47","41","9","40","24","42","33","16","27","10","17","32"
"9","19","3","12","1","1","5","8","18","17","1","8","1","1","1","32"
"77","5","7","1","6","13","5","5","50","2","69","6","10","3","8","30"
"19","52","32","13","7","36","34","52","19","33","19","8","32","28","38","46"
"38","45","63","35","29","59","43","65","43","60","37","43","57","26","46","32"
"55","50","72","67","41","66","53","56","44","53","49","52","52","50","45","49"
"14","83","59","23","24","65","44","34","28","32","26","16","40","30","11","35"
"34","65","28","7","35","32","26","40","36","22","38","10","1","37","61","47"
"89","1","62","45","37","67","32","42","68","34","57","36","17","37","27","71"
"60","48","53","53","53","59","49","57","48","44","56","55","48","43","44","50"
"65","33","59","68","65","61","18","30","64","31","62","36","34","28","21","69"
"61","41","67","39","60","64","29","42","54","22","61","39","48","43","39","45"
"30","18","9","27","24","50","28","55","41","46","35","29","50","34","34","25"
"47","28","54","53","40","56","45","41","58","22","45","55","30","47","32","54"
"13","20","33","1","37","24","8","12","37","28","22","40","45","19","37","24"
"43","37","59","44","38","57","42","54","60","24","42","45","41","47","32","77"
"54","24","40","43","29","51","50","50","64","29","39","50","17","20","26","48"
"4","2","14","4","13","25","5","65","64","2","65","60","7","2","17","40"
"43","45","48","45","35","60","41","41","51","39","37","50","44","48","26","49"
"46","67","36","42","58","66","31","36","62","23","66","42","35","32","1","45"
"64","35","56","67","60","69","58","62","76","60","61","38","51","18","15","40"
"66","38","62","54","24","51","9","4","29","37","29","24","8","30","28","27"
"40","11","22","8","9","40","21","32","57","38","59","9","15","1","36","37"
"69","45","74","70","68","72","71","59","73","66","60","57","62","59","59","76"
"42","25","28","31","55","56","38","34","39","38","58","40","29","1","38","42"
"79","18","58","69","27","89","16","48","64","22","36","32","30","18","14","38"
"36","16","33","24","58","39","30","67","16","67","24","30","38","11","27","70"
"62","51","36","58","60","61","33","43","51","30","42","42","34","45","44","42"
"54","60","54","41","33","40","30","41","55","39","59","26","30","37","21","54"
"55","27","26","46","24","70","33","39","56","43","58","40","28","28","32","56"
"45","54","61","46","39","72","31","45","54","47","45","47","44","47","33","48"
"10","25","5","1","17","41","1","8","33","38","15","9","1","9","1","20"
"23","80","30","28","66","11","12","12","20","16","76","19","8","9","13","28"
"53","42","40","41","43","49","29","41","45","39","42","45","41","44","29","48"
"20","50","2","1","30","35","24","34","7","1","1","1","24","29","1","45"
"41","34","39","33","34","46","39","24","43","45","43","41","30","44","40","31"
"45","45","48","41","29","52","30","43","28","32","56","52","29","49","35","48"
"75","41","53","51","61","52","15","24","44","20","76","58","17","23","31","41"
"68","56","56","83","71","69","69","69","72","66","66","60","83","64","52","53"
"39","62","42","31","6","39","48","39","38","48","40","27","45","43","17","48"
"8","37","17","4","11","45","1","6","33","4","31","23","6","1","5","3"
"66","22","68","56","72","66","63","63","60","66","69","64","62","33","26","65"
"62","29","46","19","44","68","35","43","58","48","46","30","36","36","31","60"
"25","34","21","30","31","18","15","40","25","21","23","24","16","24","16","32"
"5","23","8","1","15","11","36","53","10","65","20","10","27","16","11","25"
"36","8","38","18","17","38","1","12","22","19","58","34","8","35","14","39"
"40","39","40","58","57","54","43","39","56","60","57","42","40","40","42","37"
"10","61","42","81","66","19","15","31","39","24","25","23","30","34","21","7"
"59","31","31","64","63","60","40","41","69","38","35","24","23","38","65","63"
"58","42","58","70","63","77","85","63","63","62","47","60","68","49","67","66"
"1","46","19","13","16","5","1","16","29","1","37","28","1","7","1","19"
"25","48","42","39","69","32","37","41","36","40","39","42","40","1","25","43"
"53","48","56","12","23","48","52","22","50","53","43","32","50","52","34","52"
"40","68","45","71","63","30","61","59","36","62","36","41","58","45","27","61"
"44","48","54","45","49","47","63","55","50","57","55","59","46","44","56","58"
"43","43","36","32","43","41","50","65","16","34","34","28","51","41","36","49"
"27","35","26","15","34","40","21","8","30","17","27","35","14","4","37","46"
"31","25","64","27","44","63","37","30","46","41","34","36","38","33","43","32"
"60","29","76","63","32","84","32","39","47","28","90","35","31","12","28","68"
"80","21","80","47","59","94","62","64","82","21","67","74","64","39","89","79"
"48","32","71","29","66","66","84","75","31","45","72","65","67","64","49","75"
"24","82","12","48","17","35","12","6","37","13","50","20","4","10","9","1"
"46","37","40","51","66","35","43","43","43","39","29","39","30","40","10","48"
"19","21","26","1","18","19","20","24","20","18","24","1","50","15","24","26"
"20","52","53","17","1","55","35","53","50","53","25","48","44","21","9","43"
"15","24","26","1","12","19","17","23","21","13","1","16","18","5","1","4"
"78","20","37","52","26","77","79","37","35","52","60","24","47","29","11","78"
"33","1","64","23","12","76","10","1","40","1","36","16","13","19","22","25"
"1","100","1","1","1","1","1","1","50","1","1","1","1","1","1","1"
"15","79","37","26","15","45","59","57","35","62","11","26","59","44","23","65"
"75","22","23","46","1","72","18","33","42","16","53","18","17","16","16","45"
"14","30","29","26","53","58","23","46","54","55","28","37","56","43","41","55"
"66","44","55","59","55","57","21","56","56","45","61","47","42","15","54","65"
"37","61","26","25","14","56","8","20","37","1","59","19","21","1","1","45"
"24","13","1","7","1","7","1","9","3","12","1","11","1","6","1","1"
"57","14","64","64","63","97","69","61","59","31","38","28","65","19","31","74"
"59","34","36","41","10","65","52","53","37","40","59","50","49","32","42","67"
"65","32","27","46","39","73","40","37","40","26","35","34","51","31","61","66"
"92","23","21","46","38","66","27","14","67","66","71","26","20","26","26","42"
"16","73","36","1","28","56","13","1","54","21","8","14","49","26","16","49"
"33","28","76","29","29","78","22","10","13","16","24","25","4","29","80","48"
"58","72","84","54","60","60","65","52","79","63","68","41","44","34","59","64"
"41","17","21","9","11","41","36","20","24","19","37","6","21","37","51","24"
"40","1","50","22","8","36","15","6","58","1","43","11","32","20","37","68"
"35","3","32","5","1","38","17","17","27","2","24","18","33","7","34","28"
"21","64","23","33","32","63","10","29","30","40","56","37","35","36","25","66"
"11","14","29","10","3","61","30","69","15","57","10","31","42","58","25","24"
"19","26","73","77","66","75","67","67","27","87","75","28","65","26","24","27"
"32","76","72","78","84","21","88","79","30","77","73","40","79","34","9","81"
"27","42","40","26","18","59","36","59","35","70","35","36","27","37","40","69"
"10","30","8","10","5","11","9","10","5","3","8","6","6","8","9","15"
"35","15","42","8","29","28","22","6","14","4","26","10","40","30","3","29"
"48","51","44","18","44","60","40","48","48","60","30","47","50","40","34","48"
"52","21","26","56","46","39","20","27","66","6","62","30","23","28","30","21"
"52","58","57","52","41","54","44","63","48","52","55","48","48","42","36","52"
"44","42","57","56","62","42","45","59","46","63","68","43","58","40","45","41"
"60","21","6","39","30","66","9","25","61","23","70","17","26","7","4","23"
"40","58","41","29","25","48","43","28","21","28","24","32","54","32","41","34"
"1","33","29","1","1","32","18","15","1","10","9","31","27","13","1","49"
"36","42","45","41","43","58","43","41","55","43","60","45","35","49","41","49"
"60","19","6","80","8","57","81","71","40","81","77","31","21","36","30","71"
"32","22","5","22","5","32","6","22","2","29","26","1","2","1","1","14"
"58","15","47","37","36","57","30","64","46","58","55","43","31","21","32","31"
"94","27","84","75","23","67","82","83","62","30","70","28","85","72","25","64"
"19","19","74","15","85","35","20","85","18","81","90","21","32","13","27","70"
"63","23","49","62","17","66","8","21","62","21","61","12","6","1","59","49"
"33","27","57","29","66","41","27","39","34","20","56","33","38","22","16","35"
"56","30","39","42","28","63","38","20","43","20","34","37","38","11","11","26"
"28","34","14","22","27","64","32","63","68","31","38","27","28","27","30","36"
"27","45","44","13","25","9","12","45","25","48","36","20","39","20","20","23"
"42","37","38","58","43","56","42","61","28","57","36","20","26","31","36","15"
"35","41","31","14","13","32","34","42","29","14","49","17","12","30","37","24"
"58","44","43","27","44","58","57","47","32","59","43","47","53","38","43","44"
"38","33","30","38","17","37","17","27","27","32","26","38","27","31","31","28"
"21","29","25","1","1","27","23","1","44","29","1","19","25","1","11","62"
"50","52","53","55","41","58","53","53","54","53","52","44","53","53","53","52"
"71","57","17","67","31","32","43","41","41","66","61","19","25","37","16","67"
"48","53","15","42","47","51","39","28","41","35","52","36","31","52","40","42"
"54","12","43","38","59","45","45","42","60","57","56","44","42","32","49","59"
"57","23","17","45","21","59","13","32","39","28","66","24","8","13","28","36"
"59","29","43","27","14","50","56","60","37","34","36","10","52","57","54","53"
"55","34","45","32","10","55","17","36","45","27","31","8","38","40","34","41"
"43","79","61","28","43","23","27","40","22","27","26","31","21","23","45","6"
"36","38","29","29","21","30","26","30","17","29","39","23","29","27","21","47"
"20","21","7","5","8","8","15","4","21","3","14","4","11","11","21","26"
"38","32","35","37","66","60","28","33","50","34","36","34","27","37","29","42"
"50","31","1","40","45","58","1","1","33","7","57","14","6","44","25","30"
"20","24","10","5","37","10","9","17","40","11","24","22","8","13","8","37"
"22","20","30","19","9","45","44","62","31","46","45","14","31","17","41","50"
"94","2","93","79","81","100","81","79","80","83","79","85","81","51","100","83"
"34","15","21","32","48","46","18","12","46","26","39","41","21","44","8","49"
"66","24","42","41","30","62","40","22","45","39","60","53","34","48","22","65"
"32","54","48","27","59","58","27","15","22","41","43","29","25","31","28","32"
"53","39","43","45","45","54","37","32","45","36","47","38","23","30","41","49"
"80","24","25","82","33","62","21","84","57","30","84","47","81","62","53","63"
"71","25","36","78","19","59","34","63","77","67","63","63","56","38","33","43"
"58","31","67","77","63","56","66","71","75","61","68","71","65","35","41","81"
"53","52","52","19","47","52","34","27","52","38","52","46","51","49","43","52"
"18","56","40","39","35","34","36","41","32","35","30","30","33","60","25","27"
"62","15","25","66","30","40","16","14","51","11","72","13","23","18","2","1"
"12","16","15","13","6","60","21","52","19","41","16","23","16","44","42","34"
"22","62","20","38","17","30","11","22","22","1","31","20","24","27","11","13"
"62","38","32","36","25","42","8","15","44","10","66","16","8","26","48","39"
"33","46","32","28","12","47","15","21","36","20","33","20","42","33","38","35"
"29","17","20","48","33","47","26","36","43","22","49","11","29","22","22","32"
"47","65","50","48","46","30","30","44","50","55","50","40","30","43","33","26"
"100","32","58","86","70","84","94","75","100","93","73","100","97","54","59","92"
"28","32","80","27","23","71","38","27","19","8","2","16","36","26","65","67"
"74","28","63","84","32","64","41","66","33","39","63","36","60","29","34","47"
"1","67","9","2","11","1","1","1","1","1","1","1","1","33","1","1"
"62","10","56","75","51","21","16","25","59","22","60","30","21","26","28","14"
"44","61","46","42","47","50","45","50","62","55","46","46","51","49","44","46"
"23","74","13","10","14","58","15","24","11","29","31","19","17","13","11","24"
"74","20","51","66","63","71","31","40","75","18","66","28","47","32","68","31"
"35","41","22","28","27","47","74","66","24","64","20","20","35","61","19","31"
"31","34","8","25","10","46","18","12","18","29","43","31","38","33","8","21"
"52","52","48","49","50","52","49","43","49","37","53","51","48","46","48","48"
"1","1","25","1","15","23","1","51","20","1","1","6","10","1","1","55"
"38","64","39","41","39","27","38","62","58","36","67","30","29","31","26","64"
"55","23","44","57","41","52","48","33","52","42","38","33","51","34","51","53"
"24","17","30","22","30","32","22","29","14","11","13","1","28","34","9","7"
"47","37","36","36","5","58","31","37","26","41","65","24","16","21","45","36"
"59","41","42","18","56","57","40","44","59","29","62","61","15","52","43","64"
"18","84","7","15","1","27","1","7","24","1","44","8","1","24","11","13"
"63","36","51","37","1","58","40","50","12","44","16","34","45","50","29","51"
"55","21","66","55","58","84","46","56","51","33","50","41","39","57","62","42"
"54","4","20","39","41","65","23","18","55","46","40","14","25","35","38","59"
"54","36","48","56","48","64","60","56","55","45","48","39","15","41","36","47"
"42","25","64","57","22","57","61","65","64","58","20","55","71","22","41","38"
"36","8","33","33","27","26","14","6","26","35","23","10","9","11","36","38"
"66","33","42","58","74","41","40","30","30","38","72","16","17","32","87","27"
"43","32","54","39","23","55","41","37","56","32","43","20","36","50","37","52"
"40","35","50","30","33","59","59","44","60","33","58","28","48","51","40","56"
"45","42","61","47","25","42","25","41","41","75","46","32","50","22","38","69"
"83","30","75","58","42","64","73","13","58","26","81","42","54","35","76","57"
"61","26","66","58","67","93","96","79","71","62","68","58","80","51","37","84"
"43","45","46","48","44","43","48","44","46","39","46","43","48","48","49","44"
"44","48","48","35","59","59","53","50","53","68","48","49","61","50","59","58"
"67","24","56","2","55","60","10","54","51","34","55","53","52","7","77","51"
"3","61","28","6","22","31","16","59","33","64","22","21","34","22","25","45"
"50","7","18","11","13","10","12","6","7","12","8","16","10","14","12","12"
"42","34","28","65","44","39","19","29","35","43","36","41","34","42","34","40"
"28","36","58","25","18","63","59","65","56","38","21","14","31","27","27","44"
"57","27","50","49","62","56","19","45","49","19","61","34","47","38","47","40"
"64","86","62","2","43","71","22","25","59","26","88","16","21","8","67","53"
"34","67","18","24","16","36","37","36","57","59","27","18","31","34","39","41"
"36","65","64","40","10","55","9","61","35","71","27","11","14","31","37","62"
"63","29","33","75","23","23","85","24","20","68","75","15","81","34","88","75"
